 ,Is there one from last year?,Complete 2024,On Page for Printing?,Dimensions,Frontage,Depth,Interactivity Time/Name Highlight Color,Neigborhood,Tea,Coffee,Sound,Food,Fire,Fire Circle,Kids,Bar,ADA,XXX,UnEvEn GROUND,Trees,RVs,Sound Zone,Sound Zone Data,Make SZ work?,Make SZ work? Data,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,Uneven Ground,Uneven Ground Data,Trees,Trees Data,ADA,ADA Data,Kids v Kids+,Kids,Kids Data,Kids +,Kids+ Reduct,Kids + Data,Bar,Bar Data,XXX,XXX Data,Fire,Fire Data,Fire Circle,Fire Circle Data,Dimensions,Dims 1st,Dims 2nd,Frontage,Depth,SqFt,SqFt,Sound Zone split,,,Food,Coffee,Tea,Sound Size,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Thur Morning,Thur Afternoon,Thur Late Aft,Thur Evening,Thur Late Nigt,Fri Morning,Fri Afternoon,Fri Late Aft,Fri Evening,Fri Late Night,Sat Morn,Sat Afternoon,Sat Late Aft,Sat Even,Sat Late Night,Sun Morn,Sun Aft,Sun Late Aft,Sun Even,Sun Late NIght,Morning,Afternoon,Late Afternoon,Evening,Late Night,Total Shifts,Camp Type,Morning,Afternoon,Late Afternoon,Evening,Late Night,% Morning,% Afternoon,% Late Afternoon,% Evening,% Late Night,Concat,Camp Highlight,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,1st Choice,2nd Choice,3rd Choice,neighborhood
Central Services,,,,"Odd shape see every year since 2015.  144' x 200' (~23,000 sq. ft.  - including parking area for gaters and fire support vehicles.)",145,200,Work Support Camp,, , , ,, , ,Kids+, ,ADA, , , ,9,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We would prefer not to be placed.,,,,,,,,, ,No, ,No,ADA,Yes,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!", ,No, ,, ,No, ,,"Odd shape see every year since 2015.  144' x 200' (~23,000 sq. ft.  - including parking area for gaters and fire support vehicles.)",Odd shape see every year since 2015.  144' ," 200' (~23,000 sq. ft.  - including parking area for gaters and fire support vehicles.)",145,200," (~23,000 sq. ft.  - including parking area for gaters and fire support vehicles.)",29000,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,,,,,,,,,,,
Limbo Lounge,,,,40'x60' (2400 sq. ft.),40,60,AfternoonLate Afternoon,FE UB LB , , , ,Food, , ,Kids+,Bar, , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,,,,3rd Choice,2nd Choice,,UnEvEn,Yes,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!",Bar,Yes, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 1,1,SZ 1,Food,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,0,4,4,0,0,8,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,1,,,,,3,2,,FE ,UB ,LB ,FE UB LB 
Dragon’s Second Hand Booze Bar,,,,25’ x 10’ (250 sq. ft.),25,10,Late Afternoon,MF NP RS , , , ,, , , ,Bar, , , , ,1,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,,1st Choice,2nd Choice,3rd Choice,,,,, ,No, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,25’ x 10’ (250 sq. ft.),25’ , 10’ (250 sq. ft.),25,10,,250,Zone 1,1,SZ 1,,,,No,None,None,Late Afternoon (4pm-8pm),Late Afternoon (4pm-8pm), , , , , , , , , , , , ,1, , , , ,1, , ,0,0,2,0,0,2,Theme Camp,,,Late Afternoon,,,0.00%,0.00%,100.00%,0.00%,0.00%,Late Afternoon,Late Afternoon,,1,2,3,,,,,MF ,NP ,RS ,MF NP RS 
TALK WITH STRANGERS,,,,The most recent 3 years was roughly 60 by 100,60,100,,MF MZ , , , ,, , ,Kids, , , ,UnEvEn,Trees,9,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,The most recent 3 years was roughly 60 by 100,The most recent 3 years was roughly 60 by 100,,60,100,,6000,Zone 2,2,SZ 2,,,,No,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm)",1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, , ,4,4,4,0,0,12,Theme Camp,,,,,,33.33%,33.33%,33.33%,0.00%,0.00%,,,,1,,,2,,,,MF ,MZ ,,MF MZ 
Play With My Balls,,,,40'x40' (1600 sq. ft.),40,40,AfternoonLate Afternoon,MF MZ , , , ,, , , , , , , , ,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,,,, ,No, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 2,2,SZ 2,,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,0,4,4,0,0,8,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,1,,,2,,,,MF ,MZ ,,MF MZ 
Glowbal,,,,60x80 is what we requested last year and we were cramped but happy,60,80,,MF MZ LB , , , ,Food+, , ,Kids,Bar, , ,UnEvEn, ,6,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,3rd Choice,,,UnEvEn,Yes, ,No, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,60x80 is what we requested last year and we were cramped but happy,60,80 is what we requested last year and we were cramped but happy,60,80,,4800,Zone 2,2,SZ 2,Food+,,,Big,Evening (8pm-Midnight),"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , , ,1, , , ,1,1,1, ,1,1,1,1, ,1,1, , ,0,2,3,3,2,10,Theme Camp,,,,,,0.00%,20.00%,30.00%,30.00%,20.00%,,,,1,,,2,3,,,MF ,MZ ,LB ,MF MZ LB 
Earthbase9 ,,,,40'x60' (2400 sq. ft.),40,60,Afternoon,MD UB MZ , , , ,, , ,Kids, , , ,UnEvEn, ,5,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,3rd Choice,,2nd Choice,1st Choice,UnEvEn,Yes, ,No, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,,,,No,Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm), ,1, , , , ,1, , , , ,1, , , , ,1, , , ,0,4,0,0,0,4,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,,,,,3,,2,1,MD ,UB ,MZ ,MD UB MZ 
Yellow Bikes ,,,,It's just a camp sign to locate bikes easily. We'll say 5x5 feet,5,5,Art Support Camp,FE MF LB , , , ,,Fire, , , , , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,1st Choice,2nd Choice,,,,3rd Choice,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,,Fire,Yes, ,,It's just a camp sign to locate bikes easily. We'll say 5x5 feet,It's just a camp sign to locate bikes easily. We'll say 5,5 feet,5,5,,25,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,1,2,,,,3,,,FE ,MF ,LB ,FE MF LB 
Sonic Sauna,,,,30'x50' (1500 sq. ft.),30,50,Evening,MF FE NP , , , ,, , ,Kids, , , , ,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,1st Choice,3rd Choice,,,,3rd Choice,, ,No,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,,,,No,Evening (8pm-Midnight),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , ,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,3,3,4,0,10,Theme Camp,,,,Evening,,0.00%,30.00%,30.00%,40.00%,0.00%,Evening,Evening,2,1,3,,,,3,,MF ,FE ,NP ,MF FE NP 
Krampusberg ,,,,20'x60' (1200 sq. ft.),20,60,Late AfternoonEvening,FE RS MF , , , ,, , , ,Bar, , , ,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,3rd Choice,,2nd Choice,,,,, ,No,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 1,1,SZ 1,,,,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)",None,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1, , , , , , , ,1,1,1, ,1, ,1,1, ,1,1,3,3,0,8,Theme Camp,,,Late Afternoon,Evening,,12.50%,12.50%,37.50%,37.50%,0.00%,Late AfternoonEvening,Late AfternoonEvening,1,3,,2,,,,,FE ,RS ,MF ,FE RS MF 
Snack Shack,,,,40'x80' (3200 sq. ft.),40,80,,UB LB MF ,Tea, ,Small,Food+, , , ,Bar, ,XXX,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,,,,2nd Choice,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes,XXX,Yes, ,No, ,No,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 2,2,SZ 2,Food+,,yes,Small,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Late Night (Midnight-Sunrise)",Morning (Sunrise-noon), ,1,1, ,1, ,1,1, ,1, ,1,1, ,1,1, , , , ,1,3,3,0,3,10,Theme Camp,,,,,,10.00%,30.00%,30.00%,0.00%,30.00%,,,,3,,,,2,1,,UB ,LB ,MF ,UB LB MF 
White Bird Rock Medicine ,,,,40'x80' (3200 sq. ft.),40,80,Work Support Camp,FE NP MF , , , ,, , , , , , ,UnEvEn,Trees,6,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,3rd Choice,2nd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 1,1,SZ 1,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,1,3,2,,,,,,FE ,NP ,MF ,FE NP MF 
BILY Camp,,,,30'x50' (1500 sq. ft.),30,50,Afternoon,RS ,Tea, , ,Food,Fire, , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,Food,,yes,No,Afternoon (noon-4pm),"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm)", ,1, , , ,1,1, , ,1,1,1, , ,1,1,1, , , ,3,4,0,0,2,9,Theme Camp,,Afternoon,,,,33.33%,44.44%,0.00%,0.00%,22.22%,Afternoon,Afternoon,,,,1,,,,,RS ,,,RS 
